medallion,hack_license,vendor_id,rate_code,store_and_fwd_flag,pickup_datetime,dropoff_datetime,passenger_count,trip_time_in_secs,trip_distance,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude
61842DA8C7ECADDFC875BC2238B00BAD,804532721FB4DC4B9426AB2272F346E2,VTS,1,,2013-02-01 17:47:00,2013-02-01 18:11:00,2,1440,4.75,-73.956627,40.771523,-73.915123,40.764053
AD3D59F0D8D1804BFE7F9291093BB96B,6A5DAFDF02B57A83DA459B0ACD9F7905,VTS,1,,2013-02-01 18:07:00,2013-02-01 18:19:00,2,720,1.59,-73.966507,40.789337,-73.956482,40.781242
85F93A05867551A1CDC407B5C53AB7C2,F3A27DD9766DE433008C91E93259ABBB,VTS,1,,2013-02-01 17:55:00,2013-02-01 17:59:00,1,240,.70,-73.963776,40.771206,-73.961533,40.777218
43A30422BAF904468A8DB24DF4E1384C,1B539D838867A1D21DFC31AC2D9074C9,VTS,1,,2013-02-01 18:14:00,2013-02-01 18:27:00,2,780,2.66,-73.96698,40.803986,-73.982361,40.769302
5AC54D9ED7042EFCEB2A1A3D3AF12A51,470BD5849C895D47FB1E697B36773A77,VTS,1,,2013-02-01 18:14:00,2013-02-01 18:19:00,1,300,.78,-73.962875,40.771984,-73.962875,40.771984
3AC3AB85F6E59CB391253FA638B854AA,14034BB590CF08BA9B41D0C4D6852B40,VTS,1,,2013-02-01 18:08:00,2013-02-01 18:20:00,1,720,1.28,-73.982689,40.739468,-73.971519,40.755074
72DD4CDB6741B7E93D4E22B6B8024263,33FC58EA397A2EB8A2782E856BEA7147,VTS,1,,2013-02-01 17:52:00,2013-02-01 18:17:00,1,1500,4.28,-73.975281,40.750206,-73.959274,40.798962
D8355B560482C567FAD4EECA88289FED,E320A790E83534810634643A7D31663B,VTS,1,,2013-02-01 17:52:00,2013-02-01 18:10:00,1,1080,2.73,-73.977997,40.760857,0,0
6D06EF60B43138CABD0E18107DFF741E,8261201FC872A3BE1BD98CDB21AF594D,VTS,1,,2013-02-01 18:25:00,2013-02-01 18:32:00,1,420,.96,-74.006981,40.728653,-73.996918,40.725418
4C1D6A9F8D5D625AC9921DFBA95B3017,F8135C248BEF9355C66194A9348BC940,VTS,1,,2013-02-01 18:23:00,2013-02-01 18:31:00,1,480,1.03,-73.981552,40.767761,-73.967102,40.766743
0D212F2E2688FF24917FDA4AA8204CEC,7B2E1D263B8DE769B4F8BB30981C06CD,VTS,1,,2013-02-01 17:49:00,2013-02-01 18:11:00,2,1320,4.61,-73.953636,40.767078,-74.004967,40.735378
8F42D6096ACD62275A983B7A66B1E30C,B4DF628816B59F7CB4158B230CE3994E,VTS,1,,2013-02-01 17:49:00,2013-02-01 18:11:00,4,1320,3.45,-74.000671,40.721062,-73.989029,40.758263
B6A314380DFBBE115B8D9A5034091800,D6AE7E32A08DAC0EDDF4778510876265,VTS,1,,2013-02-01 18:18:00,2013-02-01 18:28:00,5,600,2.02,-73.990814,40.723732,-73.9953,40.744286
8BE3DCA6DBA32A5690AB8B3326B826A4,FA60B6B14AE21B09088CC69E1EC3E6C5,VTS,1,,2013-02-01 17:56:00,2013-02-01 18:10:00,1,840,3.40,-73.999428,40.754658,-73.972122,40.795006
C025EA1318C2695C100AE127A4DE65B5,8AD99EB8CE6B372D65041C269B148C8C,VTS,1,,2013-02-01 18:18:00,2013-02-01 18:28:00,2,600,1.64,-73.983177,40.730408,-73.999207,40.723667
CE94E2E88748CF5B43C011F0B0F6CA82,935EAF8A8AF8F8AE31FB64BABFD47263,VTS,1,,2013-02-01 18:19:00,2013-02-01 18:29:00,1,600,1.50,-73.982376,40.775532,-73.972,40.750629
5F063F91DBF445D8E46F9FA629B527E1,8ED4C34444E14F3227BC28E1D7A2605C,VTS,1,,2013-02-01 18:17:00,2013-02-01 18:36:00,2,1140,3.79,-73.953629,40.744183,-73.914139,40.778633
7B2B7BD9AE62F269F0B3DDA17FB09A97,308E3049FB8333392E4BD8E68F4D5FF5,VTS,1,,2013-02-01 18:19:00,2013-02-01 18:32:00,1,780,1.74,-73.991165,40.717552,-74.009499,40.714077
588B9D6CE34BDF9E4E2536263E528B47,9513EDFBB4052C6E947A11380B8D83E3,VTS,1,,2013-02-01 16:54:00,2013-02-01 17:00:00,1,360,.98,-73.964897,40.775265,-73.973755,40.76252
47537578B06C874F6B1AC6AE4250069F,61862CB0F89AFF3FBD65805F4E52DA16,VTS,1,,2013-02-01 17:52:00,2013-02-01 18:14:00,1,1320,4.16,-74.008865,40.713951,-73.98748,40.761292
D5BF97DF0678BF1ABFACB1A255E20D02,4F21E796165706174E230D751D3BA2E9,VTS,1,,2013-02-01 17:17:00,2013-02-01 17:23:00,1,360,.00,-73.969284,40.754333,-73.978249,40.7416
25D566E299C678396527A8C909AAA038,D4EF1FE883D7CB06F581F56153386A2E,VTS,1,,2013-02-01 18:01:00,2013-02-01 18:18:00,1,1020,3.12,-73.991455,40.759869,-74.008156,40.71999
CE22FDCE2D5845CF3E562173084FFE99,F4FCA25B965F163572F0A8DDA58D271D,VTS,1,,2013-02-01 18:04:00,2013-02-01 18:07:00,1,180,.25,-73.867592,40.726818,-73.867592,40.726818
0B9A41A076F6767BB2E2EA2A64301959,981061A12092DFAB268D3421621C080A,VTS,1,,2013-02-01 18:30:00,2013-02-01 18:32:00,1,120,.87,-73.966316,40.770813,-73.958481,40.781319
526B9B74D25BFD3D7FFB76319ADF28FC,A930D2699A076C6EFAAE2F0A97C10498,VTS,1,,2013-02-01 15:17:00,2013-02-01 15:35:00,1,1080,1.65,-73.997948,40.724285,-73.981689,40.746887
E79F27D39B6F2E521F19EB482BAA72FD,0238047A5834FF6524C69E811F873D5A,VTS,1,,2013-02-01 15:35:00,2013-02-01 15:48:00,1,780,1.07,-73.980713,40.737549,-73.989731,40.747295
120C7FD3B48ABCFFF5DA2C0DCBE15EC4,97A88E22F92BE708D73810B937676500,VTS,1,,2013-02-01 17:52:00,2013-02-01 18:11:00,1,1140,1.41,-73.982796,40.739155,-73.970512,40.756458
1C3E132ED11FE24A82D788D1366EAA5A,8B8227CC0B26D5C9C8A160457AD507A8,VTS,1,,2013-02-01 18:30:00,2013-02-01 18:32:00,2,120,.31,-73.969429,40.763405,-73.968117,40.761021
6B4E27D995514C40F2D2D482821E2029,F42C4A500D972BA0E7A6E05DDF6C06FD,VTS,2,,2013-02-01 14:36:00,2013-02-01 15:31:00,5,3300,18.42,-73.789536,40.647133,-73.98864,40.774258
4D254D147893657D7110E9DBE9483B24,22CA618759C716436EA3257480199A32,VTS,1,,2013-02-01 18:47:00,2013-02-01 18:56:00,1,540,1.05,-73.980804,40.781868,-73.977585,40.789085
